id,name,description,cmdb_ci_id,severity,created_date,updated_date,
CHNG_0001,Upgrade Web Server Software,Upgrade the Apache web server software on Web Server 01 to the latest stable version.,CMDBCI0001,Medium,2025-03-25 09:00:00,2025-03-25 09:00:00,
CHNG_0002,Apply Security Patch to Database Server,Apply the latest security patch to the PostgreSQL database on Database Server 02.,CMDBCI0002,High,2025-03-26 10:30:00,2025-03-26 10:30:00,
CHNG_0003,Replace Faulty Network Switch,Replace the malfunctioning core network switch (Network Switch 03) with a new unit.,CMDBCI0003,Critical,2025-03-27 14:00:00,2025-03-27 14:00:00,
CHNG_0004,Deploy New Antivirus to Laptops,Deploy the latest version of the company-approved antivirus software to all user laptops.,CMDBCI0004,Medium,2025-03-28 11:45:00,2025-03-28 11:45:00,
CHNG_0005,Migrate Email Server to New Hardware,Migrate the Email Server 05 to the new more powerful hardware.,CMDBCI0005,Medium,2025-03-29 16:15:00,2025-03-29 16:15:00,
CHNG_0006,Update Firewall Rules for New Application,Update the firewall rules on Firewall 06 to allow traffic for the newly deployed application.,CMDBCI0006,Medium,2025-03-30 08:30:00,2025-03-30 08:30:00,
CHNG_0007,Increase Resources for Virtual Machine,Increase the CPU and RAM allocation for Virtual Machine 07 to improve performance.,CMDBCI0007,Low,2025-03-31 13:00:00,2025-03-31 13:00:00,
CHNG_0008,Expand Storage on Storage Array,Expand the storage capacity of Storage Array 08 to accommodate growing data needs.,CMDBCI0008,Medium,2025-04-01 09:45:00,2025-04-01 09:45:00,
CHNG_0009,Upgrade Operating System on Desktops,Upgrade the operating system on all standard user desktops to the latest supported version.,CMDBCI0009,Medium,2025-04-02 15:15:00,2025-04-02 15:15:00,
CHNG_00010,Implement SSL on Load Balancer,Implement SSL encryption on the Load Balancer 10 for enhanced security.,CMDBCI00010,High,2025-04-03 11:00:00,2025-04-03 11:00:00,
CHNG_00011,Upgrade Trading System Software,Upgrade the core trading engine on Trading System Alpha to the latest version for improved performance.,CMDBCI00011,High,2025-03-25 09:00:00,2025-03-25 09:00:00,
CHNG_00012,Apply Security Patch to Transaction Database,Apply the latest security patch to the Transaction Database Beta to address known vulnerabilities.,CMDBCI00012,Critical,2025-03-26 10:30:00,2025-03-26 10:30:00,
CHNG_00013,Implement New Risk Calculation Engine,Deploy the new risk calculation engine on Risk Management Server Gamma for more accurate risk assessment.,CMDBCI00013,High,2025-03-27 14:00:00,2025-03-27 14:00:00,
CHNG_00014,Update Customer Portal UI,Update the user interface of the Customer Portal Web for improved user experience.,CMDBCI00014,Medium,2025-03-28 11:45:00,2025-03-28 11:45:00,
CHNG_00015,Enhance Payment Gateway Security,Implement additional security measures on Payment Gateway Delta to prevent fraudulent transactions.,CMDBCI00015,High,2025-03-29 16:15:00,2025-03-29 16:15:00,
CHNG_00016,Deploy New Financial Reporting Module,Deploy a new module on Reporting Server Epsilon to generate advanced financial analytics.,CMDBCI00016,Medium,2025-03-30 08:30:00,2025-03-30 08:30:00,
CHNG_00017,Release New Version of Mobile Banking App,Release a new version of the Mobile Banking App with enhanced features and bug fixes.,CMDBCI00017,Medium,2025-03-31 13:00:00,2025-03-31 13:00:00,
CHNG_00018,Upgrade Compliance Audit System,Upgrade the Compliance Audit System Zeta to the latest version for better regulatory compliance.,CMDBCI00018,Medium,2025-04-01 09:45:00,2025-04-01 09:45:00,
CHNG_00019,Update ATM Software,Update the operating system and application software on the ATM Network Controller for improved stability.,CMDBCI00019,Medium,2025-04-02 15:15:00,2025-04-02 15:15:00,
CHNG_00020,Tune Fraud Detection Rules,Adjust the rules in Fraud Detection System Eta to reduce the number of false positive alerts.,CMDBCI00020,Medium,2025-04-03 11:00:00,2025-04-03 11:00:00,
CHNG_00021,Upgrade HRIS Application Software,Upgrade the HRIS application on the server to the latest version for new features.,CMDBCI00021,Medium,2025-03-25 09:00:00,2025-03-25 09:00:00,
CHNG_00022,Apply Security Patch to Payroll Database,Apply the latest security patch to the payroll database server.,CMDBCI00022,High,2025-03-26 10:30:00,2025-03-26 10:30:00,
CHNG_00023,Implement New Employee Onboarding Module,Deploy the new employee onboarding module to the employee portal.,CMDBCI00023,Medium,2025-03-27 14:00:00,2025-03-27 14:00:00,
CHNG_00024,Replace HR Manager's Laptop,Replace the HR Manager's old and slow laptop with a new model.,CMDBCI00024,Medium,2025-03-28 11:45:00,2025-03-28 11:45:00,
CHNG_00025,Update Permissions on HR Shared Drive,Review and update the access permissions on the HR documents network share.,CMDBCI00025,Low,2025-03-29 16:15:00,2025-03-29 16:15:00,
CHNG_00026,Upgrade Time Tracking System,Upgrade the time tracking system software on the server to the newest release.,CMDBCI00026,Medium,2025-03-30 08:30:00,2025-03-30 08:30:00,
CHNG_00027,Integrate Recruitment App with HRIS,Integrate the recruitment application with the main HRIS system for seamless data flow.,CMDBCI00027,High,2025-03-31 13:00:00,2025-03-31 13:00:00,
CHNG_00028,Implement Multi-Factor Authentication for Benefits System,Implement MFA for accessing the external benefits administration system.,CMDBCI00028,High,2025-04-01 09:45:00,2025-04-01 09:45:00,
CHNG_00029,Upgrade HR Reporting Server OS,Upgrade the operating system on the HR reporting server.,CMDBCI00029,Medium,2025-04-02 15:15:00,2025-04-02 15:15:00,
CHNG_00030,Review and Update HR Department Email Rules,Review and update the email rules and filters for the HR department's shared account.,CMDBCI00030,Low,2025-04-03 11:00:00,2025-04-03 11:00:00,
