id,cmdb_ci_id,name,description,data,created_date,updated_date,,,
TELE_0001,CMDBCI0001,CPU Usage,CPU utilization percentage on the web server,"[{""cpu_percent"": 80, ""timestamp"": ""2025-03-20 09:10:00""}, {""cpu_percent"": 81, ""timestamp"": ""2025-03-20 09:11:00""}, {""cpu_percent"": 89, ""timestamp"": ""2025-03-20 09:12:00""}]",2025-03-20 09:05:00,2025-03-20 09:10:00,,,
TELE_0002,CMDBCI0002,Database Connections,Number of active connections to the database server,"[{""active_connections"": 142, ""timestamp"": ""2025-03-20 10:20:00""}, {""active_connections"": 131, ""timestamp"": ""2025-03-20 10:21:00""}, {""active_connections"": 157, ""timestamp"": ""2025-03-20 10:22:00""}]",2025-03-20 10:10:00,2025-03-20 10:20:00,,,
TELE_0003,CMDBCI0003,Interface Errors,Number of errors on a specific network switch interface,"[{""interface"": ""eth0/1"", ""errors"": 5, ""timestamp"": ""2025-03-21 11:50:00""}, {""interface"": ""eth0/1"", ""errors"": 2, ""timestamp"": ""2025-03-21 11:51:00""}, {""interface"": ""eth0/1"", ""errors"": 6, ""timestamp"": ""2025-03-21 11:52:00""}]",2025-03-21 11:40:00,2025-03-21 11:50:00,,,
TELE_0004,CMDBCI0004,Memory Usage,RAM utilization percentage on the user's laptop,"[{""memory_percent"": 84, ""timestamp"": ""2025-03-21 13:55:00""}, {""memory_percent"": 63, ""timestamp"": ""2025-03-21 13:56:00""}, {""memory_percent"": 92, ""timestamp"": ""2025-03-21 13:57:00""}]",2025-03-21 13:50:00,2025-03-21 13:55:00,,,
TELE_0005,CMDBCI0005,Email Queue Length,Number of emails in the email server queue,"[{""queue_length"": 274, ""timestamp"": ""2025-03-22 14:25:00""}, {""queue_length"": 252, ""timestamp"": ""2025-03-22 14:26:00""}, {""queue_length"": 279, ""timestamp"": ""2025-03-22 14:27:00""}]",2025-03-22 14:15:00,2025-03-22 14:25:00,,,
TELE_0006,CMDBCI0006,Firewall Blocked Connections,Number of connection attempts blocked by the firewall,"[{""blocked_attempts"": 16, ""timestamp"": ""2025-03-23 09:10:00""}, {""blocked_attempts"": 18, ""timestamp"": ""2025-03-23 09:11:00""}, {""blocked_attempts"": 17, ""timestamp"": ""2025-03-23 09:12:00""}]",2025-03-23 09:05:00,2025-03-23 09:10:00,,,
TELE_0007,CMDBCI0007,Application Exceptions,Number of exceptions logged by the test application,"[{""exception_count"": 30, ""timestamp"": ""2025-03-20 18:00:00""}, {""exception_count"": 21, ""timestamp"": ""2025-03-20 18:01:00""}, {""exception_count"": 25, ""timestamp"": ""2025-03-20 18:02:00""}]",2025-03-20 17:50:00,2025-03-20 18:00:00,,,
TELE_0008,CMDBCI0008,Disk Latency,Average disk read/write latency on the storage array,"[{""latency_ms"": 38, ""timestamp"": ""2025-03-21 19:10:00""}, {""latency_ms"": 46, ""timestamp"": ""2025-03-21 19:11:00""}, {""latency_ms"": 46, ""timestamp"": ""2025-03-21 19:12:00""}]",2025-03-21 19:05:00,2025-03-21 19:10:00,,,
TELE_0009,CMDBCI0009,Application Crashes,Number of times the desktop application has crashed,"[{""crash_count"": 3, ""timestamp"": ""2025-03-22 20:40:00""}, {""crash_count"": 8, ""timestamp"": ""2025-03-22 20:41:00""}, {""crash_count"": 6, ""timestamp"": ""2025-03-22 20:42:00""}]",2025-03-22 20:35:00,2025-03-22 20:40:00,,,
TELE_00010,CMDBCI00010,Load Balancer Connections,Number of active connections handled by a specific load balancer instance,"[{""active_connections"": 194, ""timestamp"": ""2025-03-23 22:10:00""}, {""active_connections"": 196, ""timestamp"": ""2025-03-23 22:11:00""}, {""active_connections"": 270, ""timestamp"": ""2025-03-23 22:12:00""}]",2025-03-23 22:05:00,2025-03-23 22:10:00,,,
